TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
DOMINGO À NOITE,FICÇÃO,BRASIL,1933.0,,,,,DOMINGO À NOITE,1933,Alto,DOMINGO À NOITE,,DOMINGO À NOITE,2024-04-04,4,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2
UMA FAMÍLIA FELIZ,FICÇÃO,BRASIL,41887.0,,,,,UMA FAMÍLIA FELIZ,41887,Alto,UMA FAMÍLIA FELIZ,,UMA FAMÍLIA FELIZ,2024-04-04,4,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
DOIS É DEMAIS EM ORLANDO,FICÇÃO,BRASIL,74652.0,,,,,DOIS É DEMAIS EM ORLANDO,74652,Alto,DOIS É DEMAIS EM ORLANDO,,DOIS É DEMAIS EM ORLANDO,2024-03-28,3,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
"DONA LURDES, O FILME",FICÇÃO,BRASIL,36189.0,,,,,"DONA LURDES, O FILME",36189,Alto,"DONA LURDES, O FILME",,"DONA LURDES, O FILME",2024-03-28,3,GLOBO COMUNICACAO E PARTICIPACOES S/A,GLOBO
SAUDOSA MALOCA,FICÇÃO,BRASIL,20987.0,,,,,SAUDOSA MALOCA,20987,Alto,SAUDOSA MALOCA,,SAUDOSA MALOCA,2024-03-21,3,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
APAIXONADA,FICÇÃO,BRASIL,17019.0,,,,,APAIXONADA,17019,Alto,APAIXONADA,,APAIXONADA,2024-03-07,3,WMIX DISTRIBUIDORA LTDA.,WMIX
OS FAROFEIROS 2,FICÇÃO,BRASIL,1912652.0,,,,,OS FAROFEIROS 2,1912652,Alto,OS FAROFEIROS 2,,OS FAROFEIROS 2,2024-03-07,3,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
LEVANTE,FICÇÃO,BRASIL,3027.0,,,,,LEVANTE,3027,Alto,LEVANTE,,LEVANTE,2024-02-22,2,LIRA FILMES PRODUÇÕES LTDA ME,LIRA
GATO GALACTICO E O FEITIÇO DO TEMPO,FICÇÃO,BRASIL,24560.0,,,,,GATO GALACTICO E O FEITIÇO DO TEMPO,24560,Alto,GATO GALACTICO E O FEITIÇO DO TEMPO,,GATO GALACTICO E O FEITIÇO DO TEMPO,2024-02-01,2,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,SYNAPSE
NOSSO LAR 2 - OS MENSAGEIROS,FICÇÃO,BRASIL,1649559.0,,,,,NOSSO LAR 2 - OS MENSAGEIROS,1649559,Alto,NOSSO LAR 2 - OS MENSAGEIROS,,NOSSO LAR 2 - OS MENSAGEIROS,2024-01-25,1,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
PRÍNCIPE LU E A LENDA DO DRAGÃO,FICÇÃO,BRASIL,210510.0,,,,,PRÍNCIPE LU E A LENDA DO DRAGÃO,210510,Alto,PRÍNCIPE LU E A LENDA DO DRAGÃO,,PRÍNCIPE LU E A LENDA DO DRAGÃO,2024-01-25,1,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,FICÇÃO,BRASIL,205375.0,,,,,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,205375,Alto,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,2024-01-18,1,WMIX DISTRIBUIDORA LTDA.,WMIX
CHAMA A BEBEL,FICÇÃO,BRASIL,8041.0,,,,,CHAMA A BEBEL,8041,Alto,CHAMA A BEBEL,,CHAMA A BEBEL,2024-01-11,1,SM DISTRIBUIDORA DE FILMES LTDA,SM
MAMONAS ASSASSINAS O FILME,FICÇÃO,BRASIL,877875.0,,,,,MAMONAS ASSASSINAS O FILME,877875,Alto,MAMONAS ASSASSINAS O FILME,,MAMONAS ASSASSINAS O FILME,2023-12-28,12,WMIX DISTRIBUIDORA LTDA.,WMIX
MINHA IRMÃ E EU,FICÇÃO,BRASIL,2300852.0,,,,,MINHA IRMÃ E EU,2300852,Alto,MINHA IRMÃ E EU,,MINHA IRMÃ E EU,2023-12-28,12,SM DISTRIBUIDORA DE FILMES LTDA,SM
PROPRIEDADE,FICÇÃO,BRASIL,5619.0,,,,,PROPRIEDADE,5619,Alto,PROPRIEDADE,,PROPRIEDADE,2023-12-21,12,VITRINE FILMES LTDA,VITRINE
TÁ ESCRITO,FICÇÃO,BRASIL,55270.0,,,,,TÁ ESCRITO,55270,Alto,TÁ ESCRITO,,TÁ ESCRITO,2023-12-14,12,SM DISTRIBUIDORA DE FILMES LTDA,SM
UMA CARTA PARA PAPAI NOEL,FICÇÃO,BRASIL,6224.0,,,,,UMA CARTA PARA PAPAI NOEL,6224,Alto,UMA CARTA PARA PAPAI NOEL,,UMA CARTA PARA PAPAI NOEL,2023-12-14,12,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
O SEQUESTRO DO VOO 375,FICÇÃO,BRASIL,199151.0,,,,,O SEQUESTRO DO VOO 375,199151,Alto,O SEQUESTRO DO VOO 375,,O SEQUESTRO DO VOO 375,2023-12-07,12,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
PUAN,FICÇÃO,BRASIL,5854.0,,,,,PUAN,5854,Alto,PUAN,,PUAN,2023-12-07,12,VITRINE FILMES LTDA,VITRINE
AS AVENTURAS DE POLIANA - O FILME,FICÇÃO,BRASIL,103994.0,,,,,AS AVENTURAS DE POLIANA - O FILME,103994,Alto,AS AVENTURAS DE POLIANA - O FILME,,AS AVENTURAS DE POLIANA - O FILME,2023-11-30,11,WARNER BROS. (SOUTH) INC.,WARNER
PEDÁGIO,FICÇÃO,BRASIL,11333.0,,,,,PEDÁGIO,11333,Alto,PEDÁGIO,,PEDÁGIO,2023-11-30,11,SM DISTRIBUIDORA DE FILMES LTDA,SM
DURVAL DISCOS,FICÇÃO,BRASIL,2076.0,,,,,DURVAL DISCOS,2076,Alto,DURVAL DISCOS,,DURVAL DISCOS,2023-11-23,11,VITRINE FILMES LTDA,VITRINE
NÃO TEM VOLTA,FICÇÃO,BRASIL,19467.0,,,,,NÃO TEM VOLTA,19467,Alto,NÃO TEM VOLTA,,NÃO TEM VOLTA,2023-11-23,11,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
"Ó PAÍ, Ó 2",FICÇÃO,BRASIL,191939.0,,,,,"Ó PAÍ, Ó 2",191939,Alto,"Ó PAÍ, Ó 2",,"Ó PAÍ, Ó 2",2023-11-23,11,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
MULEQUE TÉ DOIDO 4 - MORREU MARIA PREÁ!,FICÇÃO,BRASIL,22853.0,,,,,MULEQUE TÉ DOIDO 4 - MORREU MARIA PREÁ!,22853,Alto,MULEQUE TÉ DOIDO 4 - MORREU MARIA PREÁ!,,MULEQUE TÉ DOIDO 4 - MORREU MARIA PREÁ!,2023-11-15,11,F D DA SILVA - ME,F
"MUSSUM, O FILMIS",FICÇÃO,BRASIL,215707.0,,,,,"MUSSUM, O FILMIS",215707,Alto,"MUSSUM, O FILMIS",,"MUSSUM, O FILMIS",2023-11-02,11,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
TIA VIRGÍNIA,FICÇÃO,BRASIL,11557.0,,,,,TIA VIRGÍNIA,11557,Alto,TIA VIRGÍNIA,,TIA VIRGÍNIA,2023-10-23,10,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
TIA VIRGÍNIA,FICÇÃO,BRASIL,1101.0,,,,,TIA VIRGÍNIA,1101,Alto,TIA VIRGÍNIA,,TIA VIRGÍNIA,2023-10-23,10,SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL,SECRETARIA
