TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
"ARTIGAS (ARTIGAS, LA REDOTA)",FICÇÃO,BRASIL,2318.0,,,,,"ARTIGAS (ARTIGAS, LA REDOTA)",2318,Alto,"ARTIGAS (ARTIGAS, LA REDOTA)",,"ARTIGAS (ARTIGAS, LA REDOTA)",2013-05-24,5,PANDA FILMES LTDA,PANDA
BONITINHA MAS ORDINÁRIA,FICÇÃO,BRASIL,13997.0,,,,,BONITINHA MAS ORDINÁRIA,13997,Alto,BONITINHA MAS ORDINÁRIA,,BONITINHA MAS ORDINÁRIA,2013-05-24,5,ANTONIO FERNANDES FILMES LTDA,ANTONIO
GIOVANNI IMPROTTA,FICÇÃO,BRASIL,188500.0,,,,,GIOVANNI IMPROTTA,188500,Alto,GIOVANNI IMPROTTA,,GIOVANNI IMPROTTA,2013-05-17,5,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
CORES,FICÇÃO,BRASIL,2376.0,,,,,CORES,2376,Alto,CORES,,CORES,2013-05-10,5,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
O QUE SE MOVE,FICÇÃO,BRASIL,2131.0,,,,,O QUE SE MOVE,2131,Alto,O QUE SE MOVE,,O QUE SE MOVE,2013-05-10,5,FREDERICO DA CRUZ MACHADO - ME,FREDERICO
SOMOS TÃO JOVENS,FICÇÃO,BRASIL,1715803.0,,,,,SOMOS TÃO JOVENS,1715803,Alto,SOMOS TÃO JOVENS,,SOMOS TÃO JOVENS,2013-05-03,5,WMIX DISTRIBUIDORA LTDA.,WMIX
NA QUADRADA DAS AGUAS PERDIDAS,FICÇÃO,BRASIL,13993.0,,,,,NA QUADRADA DAS AGUAS PERDIDAS,13993,Alto,NA QUADRADA DAS AGUAS PERDIDAS,,NA QUADRADA DAS AGUAS PERDIDAS,2013-04-26,4,CINEMATOGRÁFICA POLIFILMES LTDA-ME,CINEMATOGRÁFICA
O ABISMO PRATEADO,FICÇÃO,BRASIL,11713.0,,,,,O ABISMO PRATEADO,11713,Alto,O ABISMO PRATEADO,,O ABISMO PRATEADO,2013-04-20,4,VITRINE FILMES LTDA,VITRINE
MEU PÉ DE LARANJA LIMA,FICÇÃO,BRASIL,74793.0,,,,,MEU PÉ DE LARANJA LIMA,74793,Alto,MEU PÉ DE LARANJA LIMA,,MEU PÉ DE LARANJA LIMA,2013-04-19,4,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
HOJE,FICÇÃO,BRASIL,7525.0,,,,,HOJE,7525,Alto,HOJE,,HOJE,2013-04-18,4,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
ANGIE,FICÇÃO,BRASIL,9115.0,,,,,ANGIE,9115,Alto,ANGIE,,ANGIE,2013-04-12,4,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
JUAN E A BAILARINA,FICÇÃO,BRASIL,4256.0,,,,,JUAN E A BAILARINA,4256,Alto,JUAN E A BAILARINA,,JUAN E A BAILARINA,2013-04-12,4,VILACINE SERVIÇOS CINEMATOGRÁFICOS S.A.,VILACINE
O CARTEIRO,FICÇÃO,BRASIL,4326.0,,,,,O CARTEIRO,4326,Alto,O CARTEIRO,,O CARTEIRO,2013-04-12,4,TURNING POINT PRODUCOES EIRELI,TURNING
VAI QUE DÁ CERTO,FICÇÃO,BRASIL,2729396.0,,,,,VAI QUE DÁ CERTO,2729396,Alto,VAI QUE DÁ CERTO,,VAI QUE DÁ CERTO,2013-03-22,3,WMIX DISTRIBUIDORA LTDA.,WMIX
A BUSCA,FICÇÃO,BRASIL,352914.0,,,,,A BUSCA,352914,Alto,A BUSCA,,A BUSCA,2013-03-15,3,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
SUPER NADA,FICÇÃO,BRASIL,2842.0,,,,,SUPER NADA,2842,Alto,SUPER NADA,,SUPER NADA,2013-03-15,3,FREDERICO DA CRUZ MACHADO - ME,FREDERICO
FILME JARDIM ATLÂNTICO,FICÇÃO,BRASIL,1235.0,,,,,FILME JARDIM ATLÂNTICO,1235,Alto,FILME JARDIM ATLÂNTICO,,FILME JARDIM ATLÂNTICO,2013-03-14,3,WILLIAM CUBITS CAPELA,WILLIAM
COLEGAS,FICÇÃO,BRASIL,163736.0,,,,,COLEGAS,163736,Alto,COLEGAS,,COLEGAS,2013-03-01,3,CANNES PRODUÇÕES S/A,CANNES
TAINÁ - A ORIGEM,FICÇÃO,BRASIL,353690.0,,,,,TAINÁ - A ORIGEM,353690,Alto,TAINÁ - A ORIGEM,,TAINÁ - A ORIGEM,2013-02-08,2,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
O PAÍS DO DESEJO,FICÇÃO,BRASIL,1699.0,,,,,O PAÍS DO DESEJO,1699,Alto,O PAÍS DO DESEJO,,O PAÍS DO DESEJO,2013-01-25,1,ANTONIO FERNANDES FILMES LTDA,ANTONIO
O SOM AO REDOR,FICÇÃO,BRASIL,95845.0,,,,,O SOM AO REDOR,95845,Alto,O SOM AO REDOR,,O SOM AO REDOR,2013-01-04,1,VITRINE FILMES LTDA,VITRINE
DE PERNAS PRO AR 2,FICÇÃO,BRASIL,4846317.0,,,,,DE PERNAS PRO AR 2,4846317,Alto,DE PERNAS PRO AR 2,,DE PERNAS PRO AR 2,2012-12-28,12,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
OS PENETRAS,FICÇÃO,BRASIL,2549714.0,,,,,OS PENETRAS,2549714,Alto,OS PENETRAS,,OS PENETRAS,2012-11-30,11,WARNER BROS. (SOUTH) INC.,WARNER
DISPAROS,FICÇÃO,BRASIL,5255.0,,,,,DISPAROS,5255,Alto,DISPAROS,,DISPAROS,2012-11-23,11,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
"ERA UMA VEZ EU, VERÔNICA",FICÇÃO,BRASIL,21206.0,,,,,"ERA UMA VEZ EU, VERÔNICA",21206,Alto,"ERA UMA VEZ EU, VERÔNICA",,"ERA UMA VEZ EU, VERÔNICA",2012-11-15,11,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
AMOR?,FICÇÃO,BRASIL,19079.0,,,,,AMOR?,19079,Alto,AMOR?,,AMOR?,2012-11-07,11,ELIMAR PRODUÇÕES ARTÍSTICAS LTDA,ELIMAR
INFÂNCIA CLANDESTINA,FICÇÃO,BRASIL,33423.0,,,,,INFÂNCIA CLANDESTINA,33423,Alto,INFÂNCIA CLANDESTINA,,INFÂNCIA CLANDESTINA,2012-11-07,11,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
GONZAGA - DE PAI PARA FILHO,FICÇÃO,BRASIL,1460641.0,,,,,GONZAGA - DE PAI PARA FILHO,1460641,Alto,GONZAGA - DE PAI PARA FILHO,,GONZAGA - DE PAI PARA FILHO,2012-10-26,10,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
SUDOESTE,FICÇÃO,BRASIL,2810.0,,,,,SUDOESTE,2810,Alto,SUDOESTE,,SUDOESTE,2012-10-23,10,VITRINE FILMES LTDA,VITRINE
CIRCULAR,FICÇÃO,BRASIL,2068.0,,,,,CIRCULAR,2068,Alto,CIRCULAR,,CIRCULAR,2012-10-12,10,GRAFO AUDIOVISUAL LTDA,GRAFO
COCORICÓ CONTA CLÁSSICOS,FICÇÃO,BRASIL,2770.0,,,,,COCORICÓ CONTA CLÁSSICOS,2770,Alto,COCORICÓ CONTA CLÁSSICOS,,COCORICÓ CONTA CLÁSSICOS,2012-10-12,10,MOBZ MEDIA S/A,MOBZ
ATÉ QUE A SORTE NOS SEPARE,FICÇÃO,BRASIL,3417510.0,,,,,ATÉ QUE A SORTE NOS SEPARE,3417510,Alto,ATÉ QUE A SORTE NOS SEPARE,,ATÉ QUE A SORTE NOS SEPARE,2012-10-05,10,SM DISTRIBUIDORA DE FILMES LTDA,SM
BOCA,FICÇÃO,BRASIL,11959.0,,,,,BOCA,11959,Alto,BOCA,,BOCA,2012-09-28,9,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",UNIFILMES
E A VIDA CONTINUA,FICÇÃO,BRASIL,370842.0,,,,,E A VIDA CONTINUA,370842,Alto,E A VIDA CONTINUA,,E A VIDA CONTINUA,2012-09-14,9,SM DISTRIBUIDORA DE FILMES LTDA,SM
CARA OU COROA,FICÇÃO,BRASIL,7718.0,,,,,CARA OU COROA,7718,Alto,CARA OU COROA,,CARA OU COROA,2012-09-07,9,SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA),SPECTATEUR-COMÉRCIO
TOTALMENTE INOCENTES,FICÇÃO,BRASIL,525372.0,,,,,TOTALMENTE INOCENTES,525372,Alto,TOTALMENTE INOCENTES,,TOTALMENTE INOCENTES,2012-09-07,9,SM DISTRIBUIDORA DE FILMES LTDA,SM
UM HOMEM QUALQUER,FICÇÃO,BRASIL,1093.0,,,,,UM HOMEM QUALQUER,1093,Alto,UM HOMEM QUALQUER,,UM HOMEM QUALQUER,2012-08-31,8,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,PIPA
HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS,FICÇÃO,BRASIL,8824.0,,,,,HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS,8824,Alto,HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS,,HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS,2012-08-24,8,VITRINE FILMES LTDA,VITRINE
O DIÁRIO DE TATI,FICÇÃO,BRASIL,206991.0,,,,,O DIÁRIO DE TATI,206991,Alto,O DIÁRIO DE TATI,,O DIÁRIO DE TATI,2012-08-24,8,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",UNIFILMES
CORAÇÕES SUJOS,FICÇÃO,BRASIL,42499.0,,,,,CORAÇÕES SUJOS,42499,Alto,CORAÇÕES SUJOS,,CORAÇÕES SUJOS,2012-08-17,8,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
CURITIBA ZERO GRAU,FICÇÃO,BRASIL,19814.0,,,,,CURITIBA ZERO GRAU,19814,Alto,CURITIBA ZERO GRAU,,CURITIBA ZERO GRAU,2012-08-17,8,SIRINO E SILVESTRE LTDA-ME,SIRINO
ANTONIO CONSELHEIRO O TAUMATURGO DOS SERTÕES,FICÇÃO,BRASIL,1856.0,,,,,ANTONIO CONSELHEIRO O TAUMATURGO DOS SERTÕES,1856,Alto,ANTONIO CONSELHEIRO O TAUMATURGO DOS SERTÕES,,ANTONIO CONSELHEIRO O TAUMATURGO DOS SERTÕES,2012-08-10,8,VPC CINEMA VIDEO PRODUÇÕES ARTÍSTICAS E DISTRIBUIDORA DE FILMES LTDA,VPC
À BEIRA DO CAMINHO,FICÇÃO,BRASIL,159184.0,,,,,À BEIRA DO CAMINHO,159184,Alto,À BEIRA DO CAMINHO,,À BEIRA DO CAMINHO,2012-08-10,8,FOX FILM DO BRASIL LTDA,FOX
31 MINUTOS,FICÇÃO,BRASIL,59052.0,,,,,31 MINUTOS,59052,Alto,31 MINUTOS,,31 MINUTOS,2012-08-03,8,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
MENOS QUE NADA,FICÇÃO,BRASIL,1640.0,,,,,MENOS QUE NADA,1640,Alto,MENOS QUE NADA,,MENOS QUE NADA,2012-07-20,7,INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.,INVÍDEO
NA ESTRADA - ON THE ROAD,FICÇÃO,BRASIL,289507.0,,,,,NA ESTRADA - ON THE ROAD,289507,Alto,NA ESTRADA - ON THE ROAD,,NA ESTRADA - ON THE ROAD,2012-07-13,7,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,PLAYARTE
"E AÍ, COMEU?",FICÇÃO,BRASIL,2578599.0,,,,,"E AÍ, COMEU?",2578599,Alto,"E AÍ, COMEU?",,"E AÍ, COMEU?",2012-06-22,6,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
FEBRE DO RATO,FICÇÃO,BRASIL,29873.0,,,,,FEBRE DO RATO,29873,Alto,FEBRE DO RATO,,FEBRE DO RATO,2012-06-15,6,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
VIOLETA FOI PARA O CÉU,FICÇÃO,BRASIL,37243.0,,,,,VIOLETA FOI PARA O CÉU,37243,Alto,VIOLETA FOI PARA O CÉU,,VIOLETA FOI PARA O CÉU,2012-06-01,6,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
LUZ NAS TREVAS A VOLTA DO BANDIDO DA LUZ VERMELHA,FICÇÃO,BRASIL,9489.0,,,,,LUZ NAS TREVAS A VOLTA DO BANDIDO DA LUZ VERMELHA,9489,Alto,LUZ NAS TREVAS A VOLTA DO BANDIDO DA LUZ VERMELHA,,LUZ NAS TREVAS A VOLTA DO BANDIDO DA LUZ VERMELHA,2012-05-04,5,MERCURIO PRODUCOES LTDA,MERCURIO
PARAÍSOS ARTIFICIAIS,FICÇÃO,BRASIL,402852.0,,,,,PARAÍSOS ARTIFICIAIS,402852,Alto,PARAÍSOS ARTIFICIAIS,,PARAÍSOS ARTIFICIAIS,2012-05-04,5,ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.,ZAZEN
GIRIMUNHO,FICÇÃO,BRASIL,5195.0,,,,,GIRIMUNHO,5195,Alto,GIRIMUNHO,,GIRIMUNHO,2012-04-27,4,VITRINE FILMES LTDA,VITRINE
O HOMEM QUE NÃO DORMIA,FICÇÃO,BRASIL,4063.0,,,,,O HOMEM QUE NÃO DORMIA,4063,Alto,O HOMEM QUE NÃO DORMIA,,O HOMEM QUE NÃO DORMIA,2012-04-27,4,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS,FICÇÃO,BRASIL,47366.0,,,,,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS,47366,Alto,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS,,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS,2012-04-20,4,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
AREA Q,FICÇÃO,BRASIL,38823.0,,,,,AREA Q,38823,Alto,AREA Q,,AREA Q,2012-04-13,4,ANTONIO FERNANDES FILMES LTDA,ANTONIO
XINGU,FICÇÃO,BRASIL,377887.0,,,,,XINGU,377887,Alto,XINGU,,XINGU,2012-04-06,4,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
A NOVELA DAS OITO,FICÇÃO,BRASIL,5147.0,,,,,A NOVELA DAS OITO,5147,Alto,A NOVELA DAS OITO,,A NOVELA DAS OITO,2012-03-30,3,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,PARAMOUNT
HELENO,FICÇÃO,BRASIL,91798.0,,,,,HELENO,91798,Alto,HELENO,,HELENO,2012-03-30,3,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
BILLI PIG,FICÇÃO,BRASIL,257664.0,,,,,BILLI PIG,257664,Alto,BILLI PIG,,BILLI PIG,2012-03-02,3,WMIX DISTRIBUIDORA LTDA.,WMIX
REIS E RATOS,FICÇÃO,BRASIL,128396.0,,,,,REIS E RATOS,128396,Alto,REIS E RATOS,,REIS E RATOS,2012-02-17,2,WARNER BROS. (SOUTH) INC.,WARNER
DOIS COELHOS,FICÇÃO,BRASIL,336460.0,,,,,DOIS COELHOS,336460,Alto,DOIS COELHOS,,DOIS COELHOS,2012-01-20,1,WMIX DISTRIBUIDORA LTDA.,WMIX
"AS AVENTURAS DE AGAMENON, O REPÓRTER",FICÇÃO,BRASIL,938020.0,,,,,"AS AVENTURAS DE AGAMENON, O REPÓRTER",938020,Alto,"AS AVENTURAS DE AGAMENON, O REPÓRTER",,"AS AVENTURAS DE AGAMENON, O REPÓRTER",2012-01-06,1,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
DESAPARECIDOS,FICÇÃO,BRASIL,9821.0,,,,,DESAPARECIDOS,9821,Alto,DESAPARECIDOS,,DESAPARECIDOS,2011-12-09,12,SCHÜRMANN PRODUÇÕES CINEMATOGRÁFICAS LTDA,SCHÜRMANN
UM ASSALTO DE FÉ,FICÇÃO,BRASIL,4386.0,,,,,UM ASSALTO DE FÉ,4386,Alto,UM ASSALTO DE FÉ,,UM ASSALTO DE FÉ,2011-12-02,12,ALBERTO BITELLI INTERNATIONAL FILMS LTDA,ALBERTO
DAWSON ISLA 10,FICÇÃO,BRASIL,3545.0,,,,,DAWSON ISLA 10,3545,Alto,DAWSON ISLA 10,,DAWSON ISLA 10,2011-11-25,11,WMIX DISTRIBUIDORA LTDA.,WMIX
SIMPLES MORTAIS,FICÇÃO,BRASIL,1015.0,,,,,SIMPLES MORTAIS,1015,Alto,SIMPLES MORTAIS,,SIMPLES MORTAIS,2011-11-25,11,CINEMATOGRÁFICA POLIFILMES LTDA-ME,CINEMATOGRÁFICA
O CÉU SOBRE OS OMBROS,FICÇÃO,BRASIL,4008.0,,,,,O CÉU SOBRE OS OMBROS,4008,Alto,O CÉU SOBRE OS OMBROS,,O CÉU SOBRE OS OMBROS,2011-11-18,11,VITRINE FILMES LTDA,VITRINE
AMANHA NUNCA MAIS,FICÇÃO,BRASIL,20565.0,,,,,AMANHA NUNCA MAIS,20565,Alto,AMANHA NUNCA MAIS,,AMANHA NUNCA MAIS,2011-11-11,11,FOX FILM DO BRASIL LTDA,FOX
OS 3,FICÇÃO,BRASIL,22968.0,,,,,OS 3,22968,Alto,OS 3,,OS 3,2011-11-11,11,WARNER BROS. (SOUTH) INC.,WARNER
JARDIM DAS FOLHAS SAGRADAS,FICÇÃO,BRASIL,16831.0,,,,,JARDIM DAS FOLHAS SAGRADAS,16831,Alto,JARDIM DAS FOLHAS SAGRADAS,,JARDIM DAS FOLHAS SAGRADAS,2011-11-04,11,CINEMATOGRÁFICA POLIFILMES LTDA-ME,CINEMATOGRÁFICA
O PALHAÇO,FICÇÃO,BRASIL,1243219.0,,,,,O PALHAÇO,1243219,Alto,O PALHAÇO,,O PALHAÇO,2011-10-28,10,WMIX DISTRIBUIDORA LTDA.,WMIX
CAPITÃES DA AREIA,FICÇÃO,BRASIL,170607.0,,,,,CAPITÃES DA AREIA,170607,Alto,CAPITÃES DA AREIA,,CAPITÃES DA AREIA,2011-10-07,10,WMIX DISTRIBUIDORA LTDA.,WMIX
MEU PAÍS,FICÇÃO,BRASIL,40141.0,,,,,MEU PAÍS,40141,Alto,MEU PAÍS,,MEU PAÍS,2011-10-07,10,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
O FILME DOS ESPÍRITOS,FICÇÃO,BRASIL,320489.0,,,,,O FILME DOS ESPÍRITOS,320489,Alto,O FILME DOS ESPÍRITOS,,O FILME DOS ESPÍRITOS,2011-10-07,10,SM DISTRIBUIDORA DE FILMES LTDA,SM
UMA PROFESSORA MUITO MALUQUINHA,FICÇÃO,BRASIL,67904.0,,,,,UMA PROFESSORA MUITO MALUQUINHA,67904,Alto,UMA PROFESSORA MUITO MALUQUINHA,,UMA PROFESSORA MUITO MALUQUINHA,2011-10-07,10,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
FAMILIA VENDE TUDO,FICÇÃO,BRASIL,112116.0,,,,,FAMILIA VENDE TUDO,112116,Alto,FAMILIA VENDE TUDO,,FAMILIA VENDE TUDO,2011-09-30,9,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,PLAYARTE
TRABALHAR CANSA,FICÇÃO,BRASIL,6969.0,,,,,TRABALHAR CANSA,6969,Alto,TRABALHAR CANSA,,TRABALHAR CANSA,2011-09-30,9,CINEMATOGRÁFICA POLIFILMES LTDA-ME,CINEMATOGRÁFICA
ELVIS E MADONA,FICÇÃO,BRASIL,11340.0,,,,,ELVIS E MADONA,11340,Alto,ELVIS E MADONA,,ELVIS E MADONA,2011-09-23,9,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,PIPA
180º,FICÇÃO,BRASIL,2281.0,,,,,180º,2281,Alto,180º,,180º,2011-09-16,9,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
ALÉM DA ESTRADA,FICÇÃO,BRASIL,16125.0,,,,,ALÉM DA ESTRADA,16125,Alto,ALÉM DA ESTRADA,,ALÉM DA ESTRADA,2011-09-09,9,VITRINE FILMES LTDA,VITRINE
RISCADO,FICÇÃO,BRASIL,4357.0,,,,,RISCADO,4357,Alto,RISCADO,,RISCADO,2011-09-09,9,ESTAÇÃO ARTE E EVENTOS LTDA,ESTAÇÃO
O HOMEM DO FUTURO,FICÇÃO,BRASIL,1211083.0,,,,,O HOMEM DO FUTURO,1211083,Alto,O HOMEM DO FUTURO,,O HOMEM DO FUTURO,2011-09-02,9,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,PARAMOUNT
A ALEGRIA,FICÇÃO,BRASIL,3143.0,,,,,A ALEGRIA,3143,Alto,A ALEGRIA,,A ALEGRIA,2011-08-19,8,SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA),SPECTATEUR-COMÉRCIO
ONDE ESTÁ A FELICIDADE?,FICÇÃO,BRASIL,181680.0,,,,,ONDE ESTÁ A FELICIDADE?,181680,Alto,ONDE ESTÁ A FELICIDADE?,,ONDE ESTÁ A FELICIDADE?,2011-08-19,8,FOX FILM DO BRASIL LTDA,FOX
TRANSEUNTE,FICÇÃO,BRASIL,2072.0,,,,,TRANSEUNTE,2072,Alto,TRANSEUNTE,,TRANSEUNTE,2011-08-12,8,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,VIDEOFILMES
"NÃO SE PREOCUPE, NADA VAI DAR CERTO!",FICÇÃO,BRASIL,141213.0,,,,,"NÃO SE PREOCUPE, NADA VAI DAR CERTO!",141213,Alto,"NÃO SE PREOCUPE, NADA VAI DAR CERTO!",,"NÃO SE PREOCUPE, NADA VAI DAR CERTO!",2011-08-05,8,WMIX DISTRIBUIDORA LTDA.,WMIX
ASSALTO AO BANCO CENTRAL,FICÇÃO,BRASIL,1966736.0,,,,,ASSALTO AO BANCO CENTRAL,1966736,Alto,ASSALTO AO BANCO CENTRAL,,ASSALTO AO BANCO CENTRAL,2011-07-22,7,FOX FILM DO BRASIL LTDA,FOX
CILADA.COM,FICÇÃO,BRASIL,2959460.0,,,,,CILADA.COM,2959460,Alto,CILADA.COM,,CILADA.COM,2011-07-08,7,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
A FALTA QUE NOS MOVE,FICÇÃO,BRASIL,7509.0,,,,,A FALTA QUE NOS MOVE,7509,Alto,A FALTA QUE NOS MOVE,,A FALTA QUE NOS MOVE,2011-07-01,7,SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA),SPECTATEUR-COMÉRCIO
QUALQUER GATO VIRA-LATA,FICÇÃO,BRASIL,1194628.0,,,,,QUALQUER GATO VIRA-LATA,1194628,Alto,QUALQUER GATO VIRA-LATA,,QUALQUER GATO VIRA-LATA,2011-06-10,6,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
ESTAMOS JUNTOS,FICÇÃO,BRASIL,33187.0,,,,,ESTAMOS JUNTOS,33187,Alto,ESTAMOS JUNTOS,,ESTAMOS JUNTOS,2011-06-03,6,WMIX DISTRIBUIDORA LTDA.,WMIX
O ÚLTIMO VOO DO FLAMINGO,FICÇÃO,BRASIL,1686.0,,,,,O ÚLTIMO VOO DO FLAMINGO,1686,Alto,O ÚLTIMO VOO DO FLAMINGO,,O ÚLTIMO VOO DO FLAMINGO,2011-05-20,5,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,VIDEOFILMES
AS DOZE ESTRELAS,FICÇÃO,BRASIL,3469.0,,,,,AS DOZE ESTRELAS,3469,Alto,AS DOZE ESTRELAS,,AS DOZE ESTRELAS,2011-05-13,5,CINEMATOGRÁFICA POLIFILMES LTDA-ME,CINEMATOGRÁFICA
NO OLHO DA RUA,FICÇÃO,BRASIL,8188.0,,,,,NO OLHO DA RUA,8188,Alto,NO OLHO DA RUA,,NO OLHO DA RUA,2011-05-13,5,ROGÉRIO CORREA DA SILVA PRODUÇÕES ME,ROGÉRIO
TODO MUNDO TEM PROBLEMAS SEXUAIS,FICÇÃO,BRASIL,70981.0,,,,,TODO MUNDO TEM PROBLEMAS SEXUAIS,70981,Alto,TODO MUNDO TEM PROBLEMAS SEXUAIS,,TODO MUNDO TEM PROBLEMAS SEXUAIS,2011-05-13,5,ESTAÇÃO CINEMA E CULTURA LTDA,ESTAÇÃO
NÃO SE PODE VIVER SEM AMOR,FICÇÃO,BRASIL,7653.0,,,,,NÃO SE PODE VIVER SEM AMOR,7653,Alto,NÃO SE PODE VIVER SEM AMOR,,NÃO SE PODE VIVER SEM AMOR,2011-05-06,5,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
A ANTROPÓLOGA,FICÇÃO,BRASIL,5584.0,,,,,A ANTROPÓLOGA,5584,Alto,A ANTROPÓLOGA,,A ANTROPÓLOGA,2011-04-29,4,WMIX DISTRIBUIDORA LTDA.,WMIX
BOLLYWOOD DREAM - O SONHO BOLLYWOODIANO,FICÇÃO,BRASIL,6105.0,,,,,BOLLYWOOD DREAM - O SONHO BOLLYWOODIANO,6105,Alto,BOLLYWOOD DREAM - O SONHO BOLLYWOODIANO,,BOLLYWOOD DREAM - O SONHO BOLLYWOODIANO,2011-04-29,4,SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA),SPECTATEUR-COMÉRCIO
NATIMORTO,FICÇÃO,BRASIL,2897.0,,,,,NATIMORTO,2897,Alto,NATIMORTO,,NATIMORTO,2011-04-29,4,CAMISA TREZE CULTURAL LTDA,CAMISA
BRODER,FICÇÃO,BRASIL,37468.0,,,,,BRODER,37468,Alto,BRODER,,BRODER,2011-04-22,4,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
AS MÃES DE CHICO XAVIER,FICÇÃO,BRASIL,517330.0,,,,,AS MÃES DE CHICO XAVIER,517330,Alto,AS MÃES DE CHICO XAVIER,,AS MÃES DE CHICO XAVIER,2011-04-01,4,SM DISTRIBUIDORA DE FILMES LTDA,SM
VIPS,FICÇÃO,BRASIL,593855.0,,,,,VIPS,593855,Alto,VIPS,,VIPS,2011-03-25,3,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,PARAMOUNT
CORPOS CELESTES,FICÇÃO,BRASIL,1980.0,,,,,CORPOS CELESTES,1980,Alto,CORPOS CELESTES,,CORPOS CELESTES,2011-03-11,3,PANDA FILMES LTDA,PANDA
LOPE,FICÇÃO,BRASIL,32790.0,,,,,LOPE,32790,Alto,LOPE,,LOPE,2011-03-04,3,WARNER BROS. (SOUTH) INC.,WARNER
